Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
170.000000000| 53.240190000| 55.633705231| 12.653422701| 1.500000000| 38.200000763| 0.600000024| 18| 1| 160611.000000000| 0| -0.496796221
180.000000000| 54.836970000| 55.633786127| 12.653347753| 1.399999976| 38.200000763| 0.600000024| 18| 1| 160613.000000000| 0| -0.461884946
190.000000000| 57.757480000| 55.633869841| 12.653273760| 1.299999952| 38.200000763| 0.600000024| 18| 1| 160616.000000000| 0| -0.376744092
200.000000000| 66.117320000| 55.633943088| 12.653208160| 1.200000048| 38.200000763| 0.600000024| 17| 1| 160624.000000000| 0| -0.486114621
210.000000000| 69.233780000| 55.634022182| 12.653134109| 1.299999952| 38.200000763| 0.600000024| 17| 1| 160627.000000000| 0| -0.488151491
220.000000000| 71.186900000| 55.634099000| 12.653058876| 1.500000000| 38.200000763| 0.600000024| 17| 1| 160629.000000000| 0| -0.496176392
230.000000000| 72.806780000| 55.634178108| 12.652987840| 1.100000024| 38.200000763| 0.600000024| 17| 1| 160631.000000000| 0| -0.455295533
240.000000000| 74.353200000| 55.634261262| 12.652913461| 1.299999952| 38.200000763| 0.600000024| 17| 1| 160632.000000000| 0| -0.481099218
250.000000000| 75.817980000| 55.634341670| 12.652838033| 1.299999952| 38.200000763| 0.600000024| 17| 1| 160634.000000000| 0| -0.486683309
260.000000000| 77.207540000| 55.634419482| 12.652766120| 1.299999952| 38.200000763| 0.600000024| 17| 1| 160635.000000000| 0| -0.474153638
270.000000000| 78.558300000| 55.634498169| 12.652692099| 1.600000024| 38.200000763| 0.600000024| 17| 1| 160637.000000000| 0| -0.499554873
280.000000000| 79.870620000| 55.634576554| 12.652614933| 1.799999952| 38.200000763| 0.600000024| 17| 1| 160638.000000000| 0| -0.515333831
290.000000000| 81.107040000| 55.634653187| 12.652539617| 1.899999976| 38.200000763| 0.600000024| 17| 1| 160639.000000000| 0| -0.504239976
300.000000000| 82.293910000| 55.634731419| 12.652461924| 2.000000000| 38.200000763| 0.600000024| 16| 1| 160640.000000000| 0| -0.512890220
310.000000000| 83.441600000| 55.634809750| 12.652383653| 1.899999976| 38.200000763| 0.600000024| 16| 1| 160642.000000000| 0| -0.492509574
320.000000000| 84.555270000| 55.634888296| 12.652311193| 1.899999976| 38.200000763| 0.600000024| 17| 1| 160643.000000000| 0| -0.463031709
330.000000000| 85.641650000| 55.634969574| 12.652238526| 2.000000000| 38.200000763| 0.600000024| 17| 1| 160644.000000000| 0| -0.475435138
340.000000000| 86.676530000| 55.635048237| 12.652166464| 2.000000000| 38.200000763| 0.600000024| 17| 1| 160645.000000000| 0| -0.484036446
350.000000000| 87.687880000| 55.635127818| 12.652091741| 2.099999905| 38.200000763| 0.600000024| 17| 1| 160646.000000000| 0| -0.487937063
360.000000000| 88.679060000| 55.635207828| 12.652017304| 2.200000048| 38.200000763| 0.600000024| 16| 1| 160647.000000000| 0| -0.476707399
370.000000000| 89.679830000| 55.635289134| 12.651942935| 2.299999952| 38.200000763| 0.600000024| 17| 1| 160648.000000000| 0| -0.469393015
380.000000000| 90.687310000| 55.635368918| 12.651870441| 2.299999952| 38.200000763| 0.600000024| 16| 1| 160649.000000000| 0| -0.493206203
390.000000000| 91.718130000| 55.635447527| 12.651796050| 2.400000095| 38.200000763| 0.600000024| 16| 1| 160650.000000000| 0| -0.475393713
400.000000000| 92.786080000| 55.635527063| 12.651723738| 2.400000095| 38.200000763| 0.600000024| 17| 1| 160651.000000000| 0| -0.474277556
