Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
150.000000000| 61.019610000| 55.672362416| 12.569874990| 7.199999809| 38.200000763| 0.699999988| 15| 2| 154110.000000000| 0| 0.994404793
160.000000000| 61.890950000| 55.672412998| 12.570009133| 7.099999905| 38.200000763| 0.699999988| 15| 2| 154111.000000000| 0| 0.978072584
170.000000000| 62.773130000| 55.672462680| 12.570142990| 7.000000000| 38.200000763| 0.699999988| 16| 2| 154112.000000000| 0| 0.994368672
180.000000000| 63.665830000| 55.672511818| 12.570275994| 6.900000095| 38.200000763| 0.699999988| 16| 2| 154113.000000000| 0| 0.988019943
190.000000000| 64.570610000| 55.672561665| 12.570408864| 6.900000095| 38.200000763| 0.600000024| 17| 2| 154114.000000000| 0| 0.972235262
200.000000000| 65.482410000| 55.672611413| 12.570539383| 6.900000095| 38.200000763| 0.600000024| 17| 2| 154115.000000000| 0| 0.984099805
210.000000000| 66.417430000| 55.672661300| 12.570671365| 6.900000095| 38.200000763| 0.699999988| 16| 2| 154116.000000000| 0| 0.971522093
220.000000000| 67.384230000| 55.672712459| 12.570804621| 6.900000095| 38.200000763| 0.600000024| 18| 2| 154117.000000000| 0| 0.995969474
230.000000000| 68.386590000| 55.672760942| 12.570937950| 7.000000000| 38.200000763| 0.600000024| 17| 2| 154118.000000000| 0| 0.980311930
240.000000000| 69.428500000| 55.672810851| 12.571072801| 7.000000000| 38.200000763| 0.600000024| 17| 2| 154119.000000000| 0| 0.997183084
250.000000000| 70.523400000| 55.672862691| 12.571203863| 7.000000000| 38.200000763| 0.600000024| 17| 2| 154120.000000000| 0| 0.903212070
260.000000000| 71.672230000| 55.672923702| 12.571323286| 7.000000000| 38.200000763| 0.600000024| 18| 2| 154121.000000000| 0| 0.779485643
270.000000000| 72.880610000| 55.672989369| 12.571431796| 6.900000095| 38.200000763| 0.600000024| 17| 2| 154122.000000000| 0| 0.727402389
280.000000000| 74.175090000| 55.673058521| 12.571535476| 6.900000095| 38.200000763| 0.600000024| 17| 2| 154123.000000000| 0| 0.691796660
290.000000000| 75.662090000| 55.673126873| 12.571640157| 6.800000191| 38.200000763| 0.600000024| 17| 2| 154125.000000000| 0| 0.715972960
300.000000000| 77.847210000| 55.673195465| 12.571748532| 6.500000000| 38.200000763| 0.600000024| 18| 2| 154127.000000000| 0| 0.754824042
310.000000000| 113.400000000| 55.673235943| 12.571845824| 6.099999905| 38.200000763| 0.600000024| 16| 2| 154203.000000000| 0| 0.732397377
320.000000000| 115.688380000| 55.673305461| 12.571953362| 6.199999809| 38.200000763| 0.600000024| 17| 2| 154205.000000000| 0| 0.703042030
330.000000000| 117.534900000| 55.673376812| 12.572054718| 6.300000191| 38.200000763| 0.600000024| 17| 2| 154207.000000000| 0| 0.621345878
340.000000000| 119.100730000| 55.673454285| 12.572141209| 6.500000000| 38.200000763| 0.600000024| 17| 2| 154208.000000000| 0| 0.508407474
350.000000000| 120.593670000| 55.673534676| 12.572217013| 7.000000000| 38.200000763| 0.600000024| 17| 2| 154210.000000000| 0| 0.431719542
360.000000000| 122.077040000| 55.673618811| 12.572281914| 7.099999905| 38.200000763| 0.600000024| 17| 2| 154211.000000000| 0| 0.403812200
370.000000000| 123.561500000| 55.673704531| 12.572346218| 7.199999809| 38.200000763| 0.600000024| 17| 2| 154213.000000000| 0| 0.413775980
380.000000000| 124.962150000| 55.673786087| 12.572412077| 7.199999809| 38.200000763| 0.600000024| 18| 2| 154214.000000000| 0| 0.447066069
390.000000000| 126.274400000| 55.673864938| 12.572488206| 7.099999905| 38.200000763| 0.600000024| 16| 2| 154215.000000000| 0| 0.530679166
400.000000000| 127.516820000| 55.673941835| 12.572572468| 7.000000000| 38.200000763| 0.600000024| 16| 2| 154217.000000000| 0| 0.534139574
410.000000000| 128.727280000| 55.674019218| 12.572653351| 7.000000000| 38.200000763| 0.600000024| 16| 2| 154218.000000000| 0| 0.524404705
420.000000000| 129.934060000| 55.674096479| 12.572734741| 6.900000095| 38.200000763| 0.600000024| 16| 2| 154219.000000000| 0| 0.546630859
430.000000000| 131.123810000| 55.674174550| 12.572815956| 6.800000191| 38.200000763| 0.699999988| 13| 2| 154220.000000000| 0| 0.522121489
440.000000000| 132.273920000| 55.674251387| 12.572899508| 6.699999809| 38.200000763| 0.600000024| 15| 2| 154221.000000000| 0| 0.558191299
450.000000000| 133.403970000| 55.674328428| 12.572982289| 6.400000095| 38.200000763| 0.600000024| 14| 2| 154223.000000000| 0| 0.546708763
460.000000000| 134.529590000| 55.674403768| 12.573065986| 6.199999809| 38.200000763| 0.600000024| 15| 2| 154224.000000000| 0| 0.580063045
470.000000000| 135.658470000| 55.674476929| 12.573161212| 6.199999809| 38.200000763| 0.800000012| 12| 2| 154225.000000000| 0| 0.693262935
480.000000000| 136.779080000| 55.674542194| 12.573271020| 6.199999809| 38.200000763| 0.800000012| 12| 2| 154226.000000000| 0| 0.828835726
490.000000000| 137.902790000| 55.674600303| 12.573395654| 6.199999809| 38.200000763| 0.800000012| 12| 2| 154227.000000000| 0| 0.913672745
500.000000000| 139.018080000| 55.674652292| 12.573523706| 6.199999809| 38.200000763| 0.800000012| 12| 2| 154228.000000000| 0| 0.968992770
510.000000000| 140.126570000| 55.674704691| 12.573655227| 6.300000191| 38.200000763| 0.800000012| 12| 2| 154229.000000000| 0| 0.950274706
520.000000000| 141.205540000| 55.674755414| 12.573786325| 6.400000095| 38.200000763| 0.699999988| 12| 2| 154230.000000000| 0| 0.975204706
530.000000000| 142.264830000| 55.674806456| 12.573916886| 6.400000095| 38.200000763| 0.699999988| 12| 2| 154231.000000000| 0| 0.962370932
540.000000000| 143.312360000| 55.674857129| 12.574046166| 6.500000000| 38.200000763| 0.800000012| 12| 2| 154233.000000000| 0| 0.958275795
550.000000000| 144.363450000| 55.674909577| 12.574177480| 6.400000095| 38.200000763| 0.800000012| 12| 2| 154234.000000000| 0| 0.966553032
560.000000000| 145.426240000| 55.674961186| 12.574308244| 6.500000000| 38.200000763| 0.800000012| 12| 2| 154235.000000000| 0| 0.936676264
570.000000000| 146.492470000| 55.675014007| 12.574437997| 6.500000000| 38.200000763| 0.800000012| 13| 2| 154236.000000000| 0| 0.965132713
580.000000000| 147.588740000| 55.675065204| 12.574569288| 6.400000095| 38.200000763| 0.800000012| 12| 2| 154237.000000000| 0| 0.959958494
590.000000000| 148.752190000| 55.675117009| 12.574703231| 6.500000000| 38.200000763| 0.800000012| 12| 2| 154238.000000000| 0| 0.983970940
600.000000000| 150.116100000| 55.675168357| 12.574836406| 6.599999905| 38.200000763| 0.800000012| 13| 2| 154239.000000000| 0| 0.962857127
610.000000000| 151.672440000| 55.675219763| 12.574967610| 6.699999809| 38.200000763| 0.800000012| 12| 2| 154241.000000000| 0| 0.964767039
620.000000000| 153.497700000| 55.675274099| 12.575094468| 7.099999905| 38.200000763| 0.699999988| 13| 2| 154243.000000000| 0| 0.896191180
630.000000000| 155.119590000| 55.675328408| 12.575217912| 7.300000191| 38.200000763| 0.699999988| 13| 2| 154244.000000000| 0| 0.922083676
640.000000000| 156.566030000| 55.675381649| 12.575345793| 7.699999809| 38.200000763| 0.800000012| 13| 2| 154246.000000000| 0| 0.938500762
650.000000000| 157.947470000| 55.675434646| 12.575477166| 7.800000191| 38.200000763| 0.800000012| 12| 2| 154247.000000000| 0| 0.958594143
660.000000000| 159.304510000| 55.675488360| 12.575610063| 8.199999809| 38.200000763| 0.800000012| 13| 2| 154249.000000000| 0| 0.917469919
670.000000000| 160.598110000| 55.675542973| 12.575743903| 8.600000381| 38.200000763| 0.800000012| 13| 2| 154250.000000000| 0| 1.015394688
680.000000000| 161.855410000| 55.675589337| 12.575881618| 8.699999809| 38.200000763| 0.699999988| 13| 2| 154251.000000000| 0| 1.050335407
690.000000000| 163.149810000| 55.675633323| 12.576017883| 8.300000191| 38.200000763| 0.699999988| 13| 2| 154252.000000000| 0| 1.049862146
